#YYYY MM DD HH MM P(mm) PET(mm)
2009  5 21 18  0 0.00000 0.26718
2009  5 21 19  0 0.00000 0.15277
2009  5 21 20  0 0.00000 0.25406
2009  5 21 21  0 0.00000 0.23593
2009  5 21 22  0 0.00000 0.11913
2009  5 21 23  0 0.00000 0.05595
2009  5 22  0  0 0.00000 0.01746
2009  5 22  1  0 0.00000 0.00162
2009  5 22  2  0 0.00000 0.00000
2009  5 22  3  0 0.00000 0.00000
2009  5 22  4  0 0.00000 0.00000
2009  5 22  5  0 0.00000 0.00000
2009  5 22  6  0 0.00000 0.00000
2009  5 22  7  0 0.00000 0.00000
2009  5 22  8  0 0.00000 0.00000
2009  5 22  9  0 0.00000 0.00000
2009  5 22 10  0 0.00000 0.00000
2009  5 22 11  0 0.00000 0.00010
2009  5 22 12  0 0.00000 0.02327
2009  5 22 13  0 0.00000 0.14862
2009  5 22 14  0 0.00000 0.24696
2009  5 22 15  0 0.00000 0.24588
2009  5 22 16  0 0.00000 0.32185
2009  5 22 17  0 0.09434 0.28135
2009  5 22 18  0 0.77358 0.17477
2009  5 22 19  0 0.00000 0.17794
2009  5 22 20  0 0.18868 0.16412
2009  5 22 21  0 7.15094 0.10994
2009  5 22 22  0 2.00000 0.06753
2009  5 22 23  0 0.24528 0.04042
2009  5 23  0  0 0.00000 0.01365
2009  5 23  1  0 0.11320 0.00096
2009  5 23  2  0 0.00000 0.00000
2009  5 23  3  0 0.00000 0.00000
2009  5 23  4  0 0.09434 0.00000
2009  5 23  5  0 0.05660 0.00000
2009  5 23  6  0 0.00000 0.00000
2009  5 23  7  0 0.18868 0.00000
2009  5 23  8  0 1.35848 0.00000
2009  5 23  9  0 0.00000 0.00000
2009  5 23 10  0 0.00000 0.00000
2009  5 23 11  0 0.05660 0.00004
2009  5 23 12  0 0.00000 0.02167
2009  5 23 13  0 0.00000 0.08080
2009  5 23 14  0 0.00000 0.13011
2009  5 23 15  0 0.00000 0.21313
2009  5 23 16  0 0.00000 0.28554
2009  5 23 17  0 0.00000 0.40596
2009  5 23 18  0 0.00000 0.42062
2009  5 23 19  0 0.00000 0.42449
2009  5 23 20  0 0.00000 0.33154
2009  5 23 21  0 0.00000 0.23463
2009  5 23 22  0 0.00000 0.15594
2009  5 23 23  0 0.00000 0.08013
2009  5 24  0  0 0.00000 0.02322
2009  5 24  1  0 0.00000 0.00120
2009  5 24  2  0 0.15094 0.00000
2009  5 24  3  0 0.33962 0.00000
2009  5 24  4  0 0.05660 0.00000
2009  5 24  5  0 0.00000 0.00000
2009  5 24  6  0 0.00000 0.00000
2009  5 24  7  0 0.00000 0.00000
2009  5 24  8  0 0.00000 0.00000
2009  5 24  9  0 0.00000 0.00000
2009  5 24 10  0 0.00000 0.00000
2009  5 24 11  0 0.00000 0.00007
2009  5 24 12  0 0.00000 0.00767
2009  5 24 13  0 0.20754 0.04838
2009  5 24 14  0 0.00000 0.06928
2009  5 24 15  0 0.00000 0.08312
2009  5 24 16  0 0.00000 0.11292
2009  5 24 17  0 0.00000 0.28488
2009  5 24 18  0 0.00000 0.43964
2009  5 24 19  0 0.00000 0.34421
2009  5 24 20  0 0.05660 0.20541
2009  5 24 21  0 0.00000 0.13226
2009  5 24 22  0 0.00000 0.08568
2009  5 24 23  0 0.00000 0.05028
2009  5 25  0  0 0.00000 0.01708
2009  5 25  1  0 0.00000 0.00174
2009  5 25  2  0 0.00000 0.00000
2009  5 25  3  0 0.00000 0.00000
2009  5 25  4  0 0.00000 0.00000
2009  5 25  5  0 0.00000 0.00000
2009  5 25  6  0 0.00000 0.00000
2009  5 25  7  0 0.00000 0.00000
2009  5 25  8  0 0.00000 0.00000
2009  5 25  9  0 0.00000 0.00000
2009  5 25 10  0 0.00000 0.00000
2009  5 25 11  0 0.00000 0.00012
2009  5 25 12  0 0.00000 0.03290
2009  5 25 13  0 0.00000 0.14037
2009  5 25 14  0 0.00000 0.21985
2009  5 25 15  0 0.00000 0.21085
